delta_pose,ir
[-0.000000  0.000000  0.000000],	[ 0.480  0.154  0.814  0.051  0.060  0.077]
[-0.000000  0.000000  0.000000],	[ 0.486  0.151  0.785  0.050  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.463  0.155  0.679  0.052  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.463  0.152  0.679  0.051  0.071  0.077]
[-0.000000  0.000000  0.000000],	[ 0.463  0.152  0.757  0.052  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.486  0.151  0.771  0.050  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.468  0.152  0.744  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.468  0.152  0.814  0.050  0.069  0.076]
[-0.000000  0.000000  0.000000],	[ 0.463  0.150  0.744  0.051  0.068  0.077]
[-0.000000  0.000000  0.000000],	[ 0.468  0.151  0.744  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.498  0.152  0.799  0.051  0.068  0.077]
[-0.000000  0.000000  0.000000],	[ 0.441  0.152  0.844  0.052  0.072  0.077]
[-0.000000  0.000000  0.000000],	[ 0.463  0.148  0.799  0.053  0.071  0.078]
[-0.000000  0.000000  0.000000],	[ 0.498  0.146  0.829  0.051  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.498  0.154  0.757  0.052  0.068  0.069]
[-0.000000  0.000000  0.000000],	[ 0.492  0.152  0.730  0.049  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.474  0.150  0.679  0.052  0.069  0.069]
[-0.000000  0.000000  0.000000],	[ 0.457  0.151  0.771  0.050  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.468  0.154  0.844  0.053  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.388  0.151  0.814  0.050  0.072  0.080]
[-0.000000  0.000000  0.000000],	[ 0.463  0.151  0.844  0.048  0.068  0.077]
[-0.000000  0.000000  0.000000],	[ 0.486  0.140  0.799  0.051  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.492  0.151  0.814  0.048  0.068  0.080]
[-0.000000  0.000000  0.000000],	[ 0.468  0.152  0.859  0.050  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.486  0.150  0.829  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.492  0.152  0.844  0.050  0.061  0.078]
[-0.000000  0.000000  0.000000],	[ 0.492  0.152  0.844  0.052  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.436  0.151  0.829  0.050  0.069  0.080]
[-0.000000  0.000000  0.000000],	[ 0.486  0.155  0.829  0.054  0.069  0.074]
[-0.000000  0.000000  0.000000],	[ 0.480  0.154  0.771  0.050  0.060  0.078]
[-0.000000  0.000000  0.000000],	[ 0.492  0.155  0.799  0.052  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.463  0.150  0.844  0.050  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.463  0.152  0.844  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.492  0.156  0.859  0.048  0.061  0.068]
[-0.000000  0.000000  0.000000],	[ 0.474  0.152  0.829  0.051  0.068  0.068]
[-0.000000  0.000000  0.000000],	[ 0.463  0.151  0.799  0.050  0.069  0.080]
[-0.000000  0.000000  0.000000],	[ 0.457  0.156  0.829  0.051  0.069  0.076]
[-0.000000  0.000000  0.000000],	[ 0.457  0.151  0.844  0.050  0.062  0.079]
[-0.000000  0.000000  0.000000],	[ 0.492  0.101  0.785  0.052  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.463  0.150  0.814  0.050  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.486  0.152  0.814  0.052  0.070  0.077]
[-0.000000  0.000000  0.000000],	[ 0.463  0.151  0.859  0.050  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.492  0.151  0.859  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.498  0.151  0.829  0.051  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.436  0.151  0.859  0.052  0.069  0.076]
[-0.000000  0.000000  0.000000],	[ 0.463  0.164  0.814  0.050  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.474  0.152  0.771  0.048  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.498  0.152  0.844  0.051  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.463  0.152  0.859  0.048  0.069  0.076]
[-0.000000  0.000000  0.000000],	[ 0.441  0.148  0.814  0.052  0.071  0.078]
[-0.000000  0.000000  0.000000],	[ 0.492  0.138  0.844  0.052  0.062  0.076]
[-0.000000  0.000000  0.000000],	[ 0.474  0.155  0.799  0.053  0.069  0.068]
[-0.000000  0.000000  0.000000],	[ 0.463  0.152  0.744  0.051  0.070  0.068]
[-0.000000  0.000000  0.000000],	[ 0.468  0.155  0.859  0.050  0.068  0.079]
[-0.000000  0.000000  0.000000],	[ 0.492  0.155  0.704  0.051  0.060  0.079]
[-0.000000  0.000000  0.000000],	[ 0.468  0.154  0.704  0.052  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.486  0.151  0.704  0.052  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.457  0.152  0.744  0.055  0.068  0.076]
[-0.000000  0.000000  0.000000],	[ 0.504  0.151  0.829  0.053  0.062  0.077]
[-0.000000  0.000000  0.000000],	[ 0.498  0.152  0.785  0.048  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.486  0.152  0.799  0.051  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.463  0.152  0.844  0.051  0.067  0.077]
[-0.000000  0.000000  0.000000],	[ 0.457  0.157  0.844  0.051  0.070  0.077]
[-0.000000  0.000000  0.000000],	[ 0.480  0.163  0.829  0.051  0.067  0.080]
[-0.000000  0.000000  0.000000],	[ 0.463  0.155  0.757  0.052  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.486  0.151  0.859  0.050  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.486  0.150  0.814  0.051  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.498  0.126  0.875  0.052  0.067  0.077]
[-0.000000  0.000000  0.000000],	[ 0.480  0.154  0.829  0.051  0.061  0.078]
[-0.000000  0.000000  0.000000],	[ 0.463  0.154  0.829  0.051  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.457  0.151  0.844  0.052  0.069  0.076]
[-0.000000  0.000000  0.000000],	[ 0.492  0.154  0.844  0.052  0.069  0.069]
[-0.000000  0.000000  0.000000],	[ 0.468  0.152  0.829  0.048  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.426  0.147  0.829  0.050  0.068  0.079]
[-0.000000  0.000000  0.000000],	[ 0.457  0.160  0.844  0.051  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.474  0.152  0.844  0.052  0.060  0.076]
[-0.000000  0.000000  0.000000],	[ 0.463  0.151  0.844  0.052  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.486  0.152  0.771  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.468  0.151  0.829  0.052  0.069  0.076]
[-0.000000  0.000000  0.000000],	[ 0.498  0.169  0.799  0.054  0.063  0.078]
[-0.000000  0.000000  0.000000],	[ 0.446  0.154  0.875  0.052  0.068  0.077]
[-0.000000  0.000000  0.000000],	[ 0.486  0.151  0.859  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.486  0.154  0.844  0.051  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.474  0.152  0.730  0.048  0.060  0.076]
[-0.000000  0.000000  0.000000],	[ 0.452  0.154  0.859  0.051  0.072  0.078]
[-0.000000  0.000000  0.000000],	[ 0.468  0.151  0.844  0.046  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.492  0.151  0.771  0.050  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.474  0.151  0.829  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.446  0.151  0.844  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.486  0.150  0.814  0.051  0.072  0.070]
[-0.000000  0.000000  0.000000],	[ 0.492  0.151  0.844  0.050  0.069  0.068]
[-0.000000  0.000000  0.000000],	[ 0.468  0.172  0.744  0.051  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.431  0.152  0.704  0.052  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.486  0.156  0.730  0.051  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.498  0.152  0.829  0.051  0.068  0.077]
[-0.000000  0.000000  0.000000],	[ 0.474  0.152  0.844  0.052  0.070  0.077]
[-0.000000  0.000000  0.000000],	[ 0.498  0.147  0.799  0.051  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.468  0.151  0.814  0.052  0.069  0.076]
[-0.000000  0.000000  0.000000],	[ 0.492  0.152  0.844  0.052  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.498  0.154  0.829  0.051  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.452  0.151  0.679  0.050  0.061  0.078]
[-0.000000  0.000000  0.000000],	[ 0.474  0.147  0.829  0.051  0.069  0.076]
[-0.000000  0.000000  0.000000],	[ 0.492  0.152  0.744  0.050  0.068  0.077]
[-0.000000  0.000000  0.000000],	[ 0.474  0.151  0.814  0.052  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.446  0.177  0.844  0.050  0.072  0.079]
[-0.000000  0.000000  0.000000],	[ 0.486  0.152  0.799  0.053  0.069  0.076]
[-0.000000  0.000000  0.000000],	[ 0.463  0.154  0.829  0.051  0.067  0.078]
[-0.000000  0.000000  0.000000],	[ 0.486  0.151  0.829  0.052  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.446  0.152  0.844  0.051  0.071  0.078]
[-0.000000  0.000000  0.000000],	[ 0.463  0.167  0.829  0.052  0.060  0.076]
[-0.000000  0.000000  0.000000],	[ 0.492  0.154  0.844  0.050  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.463  0.151  0.814  0.048  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.498  0.151  0.757  0.052  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.486  0.155  0.829  0.040  0.061  0.068]
[-0.000000  0.000000  0.000000],	[ 0.468  0.152  0.799  0.052  0.071  0.068]
[-0.000000  0.000000  0.000000],	[ 0.486  0.148  0.799  0.052  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.504  0.154  0.844  0.051  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.486  0.151  0.829  0.052  0.069  0.079]
[-0.000000  0.000000  0.000000],	[ 0.463  0.155  0.829  0.052  0.074  0.078]
[-0.000000  0.000000  0.000000],	[ 0.480  0.152  0.799  0.051  0.068  0.076]
[-0.000000  0.000000  0.000000],	[ 0.446  0.151  0.814  0.052  0.069  0.077]
[-0.000000  0.000000  0.000000],	[ 0.480  0.272  0.844  0.051  0.069  0.078]
[-0.000000  0.000000  0.000000],	[ 0.492  0.152  0.844  0.048  0.068  0.078]
[-0.000000  0.000000  0.000000],	[ 0.463  0.152  0.859  0.051  0.068  0.077]
[-0.000000  0.000000  0.000000],	[ 0.480  0.154  0.859  0.047  0.069  0.081]
[ 0.000436  0.000004  0.012320],	[ 0.457  0.148  0.799  0.051  0.067  0.079]
[ 0.001745  0.000005  0.000000],	[ 0.468  0.152  0.814  0.052  0.073  0.077]
[ 0.000000 -0.000002  0.000000],	[ 0.486  0.155  0.799  0.053  0.069  0.080]
[-0.000000 -0.000004  0.000000],	[ 0.474  0.150  0.844  0.052  0.069  0.077]
[ 0.000873  0.000002 -0.008213],	[ 0.446  0.152  0.771  0.055  0.069  0.078]
[ 0.000436  0.000000  0.004107],	[ 0.486  0.152  0.844  0.055  0.064  0.066]
[-0.000436 -0.000005  0.012320],	[ 0.492  0.152  0.859  0.058  0.071  0.074]
[-0.000436 -0.000002  0.012320],	[ 0.452  0.155  0.799  0.055  0.072  0.064]
[ 0.000436 -0.000002  0.012320],	[ 0.468  0.156  0.844  0.052  0.073  0.062]
[ 0.000873 -0.000004  0.016427],	[ 0.463  0.146  0.844  0.050  0.074  0.071]
[ 0.000873 -0.000002  0.024640],	[ 0.550  0.138  0.655  0.051  0.075  0.068]
[ 0.001309 -0.000014  0.045173],	[ 0.826  0.145  0.730  0.036  0.075  0.058]
[ 0.004358 -0.000184  0.090346],	[ 1.114  0.166  0.163  0.021  0.076  0.052]
[ 0.004790 -0.000267  0.110880],	[ 0.656  0.229  0.263  0.136  0.075  0.048]
[ 0.002616 -0.000102  0.073920],	[ 0.543  0.234  0.339  0.323  0.096  0.047]
[ 0.003486 -0.000149  0.082133],	[ 0.510  0.247  0.291  0.143  0.106  0.049]
[ 0.001745 -0.000038  0.057493],	[ 0.375  0.275  0.211  0.149  0.121  0.048]
[ 0.003927 -0.000030  0.036960],	[ 0.416  0.291  0.182  0.156  0.111  0.048]
[ 0.001309  0.000002 -0.004107],	[ 0.401  0.244  0.185  0.160  0.127  0.051]
[ 0.002182 -0.000004  0.004107],	[ 0.406  0.305  0.208  0.151  0.127  0.050]
[ 0.000436 -0.000000 -0.004107],	[ 0.362  0.309  0.208  0.149  0.129  0.052]
[ 0.000436 -0.000000  0.004107],	[ 0.392  0.305  0.205  0.162  0.127  0.053]
[ 0.001309  0.000005 -0.004107],	[ 0.416  0.309  0.205  0.162  0.127  0.053]
[ 0.002618  0.000013 -0.008213],	[ 0.406  0.309  0.218  0.141  0.125  0.053]
[ 0.004363  0.000047 -0.024640],	[ 0.426  0.291  0.243  0.147  0.125  0.050]
[ 0.005236  0.000041 -0.024640],	[ 0.416  0.302  0.286  0.151  0.129  0.058]
[ 0.006544  0.000066 -0.028747],	[ 0.426  0.309  0.322  0.246  0.124  0.053]
[ 0.010035  0.000109 -0.028747],	[ 0.480  0.309  0.370  0.259  0.127  0.068]
[ 0.005669  0.000145 -0.061600],	[ 0.510  0.309  0.370  0.063  0.119  0.074]
[ 0.009555  0.000799 -0.172480],	[ 0.848  0.302  0.243  0.296  0.106  0.078]
[ 0.009144  0.000456 -0.135520],	[ 0.765  0.258  0.859  0.301  0.100  0.087]
[ 0.013948  0.000526 -0.098560],	[ 0.401  0.291  0.771  1.071  0.096  0.104]
[ 0.011780  0.000093 -0.020533],	[ 0.446  0.320  0.744  0.893  0.095  0.107]
[ 0.006981 -0.000000  0.000000],	[ 0.486  0.331  0.744  0.978  0.095  0.110]
[ 0.008725 -0.000163  0.024640],	[ 0.421  0.335  0.744  0.893  0.086  0.105]
[ 0.004796 -0.000163  0.069813],	[ 0.745  0.316  0.643  0.978  0.099  0.099]
[ 0.008256 -0.000638  0.160160],	[ 0.837  0.352  0.844  0.200  0.103  0.077]
[ 0.006536 -0.000283  0.110880],	[ 0.362  0.383  0.301  0.317  0.110  0.078]
[ 0.012641 -0.000458  0.102666],	[ 0.536  0.388  0.301  0.301  0.129  0.070]
[ 0.007854 -0.000038  0.016427],	[ 0.486  0.388  0.370  0.317  0.130  0.081]
[ 0.009163 -0.000034  0.004107],	[ 0.457  0.388  0.339  0.291  0.139  0.084]
[ 0.008727 -0.000032  0.008213],	[ 0.401  0.398  0.345  0.323  0.150  0.085]
[ 0.005236  0.000002  0.000000],	[ 0.441  0.408  0.426  0.296  0.129  0.077]
[ 0.006981  0.000079 -0.016427],	[ 0.416  0.413  0.286  0.329  0.143  0.095]
[ 0.003927  0.000022 -0.012320],	[ 0.468  0.424  0.296  0.365  0.141  0.095]
[ 0.006980  0.000108 -0.032853],	[ 0.543  0.429  0.218  0.372  0.139  0.100]
[ 0.005671  0.000090 -0.028747],	[ 0.571  0.419  0.322  0.515  0.139  0.101]
[ 0.011338  0.000317 -0.057493],	[ 0.362  0.408  0.655  0.347  0.132  0.110]
[ 0.008725  0.000154 -0.041067],	[ 0.775  0.419  0.844  0.191  0.136  0.107]
[ 0.016136  0.000444 -0.061600],	[ 0.708  0.429  0.785  0.167  0.138  0.115]
[ 0.011777  0.000247 -0.045173],	[ 0.882  0.488  0.679  1.071  0.136  0.125]
[ 0.018310  0.000647 -0.073920],	[ 0.882  0.408  0.598  0.608  0.139  0.125]
[ 0.019618  0.000673 -0.078026],	[ 0.775  0.429  0.679  1.052  0.157  0.144]
[ 0.013521  0.000326 -0.053387],	[ 0.474  0.435  0.376  0.597  0.138  0.149]
[ 0.020491  0.000716 -0.069813],	[ 0.463  0.424  0.527  0.619  0.138  0.157]
[ 0.013520  0.000348 -0.053387],	[ 1.662  0.361  0.196  0.454  0.127  0.157]
[ 0.019619  0.000679 -0.069813],	[ 1.336  0.408  0.154  0.281  0.125  0.166]
[ 0.013522  0.000288 -0.045173],	[ 0.463  0.424  0.133  0.109  0.118  0.164]
[ 0.020058  0.000593 -0.065707],	[ 0.331  0.429  0.099  0.263  0.115  0.171]
[ 0.013087  0.000222 -0.041067],	[ 0.314  0.429  0.087  0.296  0.102  0.150]
[ 0.019630  0.000371 -0.045173],	[ 0.274  0.408  0.109  0.254  0.110  0.160]
[ 0.019634  0.000161 -0.020533],	[ 0.263  0.429  0.132  0.200  0.096  0.175]
[ 0.013090  0.000048 -0.008213],	[ 0.241  0.429  0.121  0.180  0.100  0.171]
[ 0.019199 -0.000016  0.000000],	[ 0.246  0.424  0.146  0.158  0.076  0.167]
[ 0.013525 -0.000122  0.020533],	[ 0.234  0.452  0.156  0.141  0.081  0.157]
[ 0.024416 -0.000815  0.065707],	[ 0.246  0.435  0.146  0.145  0.069  0.134]
[ 0.017878 -0.000528  0.069813],	[ 0.294  0.424  0.140  0.136  0.060  0.107]
[ 0.030041 -0.001699  0.127306],	[ 0.882  0.452  0.129  0.122  0.055  0.090]
[ 0.021353 -0.000910  0.102666],	[ 0.401  0.452  0.119  0.111  0.054  0.071]
[ 0.033055 -0.002227  0.147840],	[ 0.585  0.440  0.112  0.246  0.064  0.058]
[ 0.033941 -0.002119  0.139626],	[ 0.656  0.446  0.091  0.091  0.069  0.047]
[ 0.022668 -0.000813  0.082133],	[ 0.708  0.424  0.080  0.027  0.082  0.046]
[ 0.032707 -0.000874  0.069813],	[ 0.795  0.419  0.072  0.010  0.093  0.053]
[ 0.020944 -0.000100  0.016427],	[ 0.745  0.429  0.061  0.026  0.109  0.062]
[ 0.031413  0.000367 -0.016427],	[ 0.837  0.429  0.054  0.097  0.111  0.073]
[ 0.019632  0.000280 -0.028747],	[ 0.699  0.429  0.051  0.083  0.121  0.078]
[ 0.028785  0.000751 -0.049280],	[ 0.673  0.429  0.049  0.080  0.103  0.085]
[ 0.017443  0.000505 -0.057493],	[ 0.571  0.495  0.046  0.067  0.122  0.078]
[ 0.022632  0.001410 -0.123200],	[ 0.585  0.452  0.058  0.063  0.121  0.092]
[ 0.012197  0.000602 -0.106773],	[ 0.647  0.458  0.071  0.055  0.124  0.128]
[ 0.018706  0.001159 -0.160160],	[ 0.362  0.458  0.142  0.050  0.102  0.139]
[ 0.018302  0.000768 -0.106773],	[ 1.500  0.452  0.859  0.055  0.109  0.154]
[ 0.013086  0.000269 -0.049280],	[ 0.837  0.446  0.609  0.063  0.105  0.152]
[ 0.021378  0.000254 -0.028747],	[ 0.350  0.458  0.518  0.070  0.095  0.155]
[ 0.015708  0.000057 -0.008213],	[ 0.339  0.446  0.598  0.079  0.095  0.150]
[ 0.023126  0.000014 -0.004107],	[ 0.288  0.452  0.643  0.090  0.084  0.149]
[ 0.016144 -0.000079  0.012320],	[ 0.310  0.452  0.567  0.104  0.078  0.139]
[ 0.025301 -0.000503  0.041067],	[ 0.468  0.464  0.577  0.291  0.074  0.124]
[ 0.017883 -0.000403  0.053387],	[ 1.620  0.424  0.383  1.071  0.065  0.114]
[ 0.027875 -0.001445  0.106773],	[ 0.285  0.458  0.692  1.071  0.062  0.090]
[ 0.026975 -0.001788  0.139626],	[ 0.517  0.470  0.404  1.090  0.070  0.076]
[ 0.016107 -0.000940  0.127306],	[ 0.480  0.440  0.704  0.191  0.075  0.062]
[ 0.022981 -0.002218  0.193013],	[ 0.463  0.429  0.482  0.149  0.083  0.050]
[ 0.015246 -0.000727  0.110880],	[ 0.446  0.424  0.491  0.170  0.105  0.051]
[ 0.022225 -0.000919  0.102666],	[ 0.504  0.429  0.465  0.167  0.139  0.061]
[ 0.015270 -0.000142  0.028747],	[ 0.517  0.424  0.465  0.180  0.148  0.074]
[ 0.020493  0.000729 -0.045173],	[ 0.523  0.429  0.491  0.167  0.145  0.080]
[ 0.013517  0.000412 -0.061600],	[ 0.436  0.452  0.491  0.631  0.143  0.076]
[ 0.019145  0.001192 -0.147840],	[ 0.421  0.440  0.632  0.555  0.130  0.092]
[ 0.013951  0.000457 -0.082133],	[ 0.379  0.476  0.757  1.052  0.121  0.101]
[ 0.021795  0.000792 -0.090346],	[ 0.421  0.452  0.771  1.014  0.124  0.107]
[ 0.022242  0.000605 -0.061600],	[ 0.416  0.452  0.744  0.815  0.111  0.121]
[ 0.014396  0.000263 -0.036960],	[ 0.441  0.452  0.667  0.877  0.134  0.127]
[ 0.021808  0.000530 -0.049280],	[ 0.436  0.476  0.449  0.996  0.132  0.130]
[ 0.014397  0.000206 -0.028747],	[ 0.421  0.707  0.345  0.978  0.119  0.137]
[ 0.020064  0.000475 -0.049280],	[ 0.416  0.446  0.317  1.110  0.129  0.140]
[ 0.013524  0.000204 -0.036960],	[ 0.383  0.446  0.322  0.801  0.116  0.145]
[ 0.021369  0.000575 -0.061600],	[ 0.366  0.419  0.339  1.071  0.119  0.147]
[ 0.021809  0.000462 -0.049280],	[ 0.354  0.435  0.363  0.335  0.110  0.149]
[ 0.013962  0.000091 -0.016427],	[ 0.358  0.419  0.277  0.422  0.106  0.150]
[ 0.020508  0.000023 -0.004107],	[ 0.310  0.435  0.281  0.365  0.099  0.127]
[ 0.013963 -0.000000  0.000000],	[ 0.335  0.470  0.202  0.400  0.095  0.149]
[ 0.022253  0.000045 -0.004107],	[ 0.301  0.429  0.214  0.340  0.092  0.121]
[ 0.015272 -0.000009 -0.004107],	[ 0.301  0.429  0.152  0.340  0.091  0.131]
[ 0.023560 -0.000254  0.016427],	[ 0.263  0.429  0.185  0.379  0.081  0.127]
[ 0.013952 -0.000489  0.057493],	[ 0.228  0.429  0.163  0.372  0.081  0.115]
[ 0.018669 -0.001616  0.168373],	[ 0.191  0.452  0.286  0.386  0.081  0.093]
[ 0.011750 -0.000718  0.135520],	[ 0.169  0.452  0.301  0.372  0.088  0.077]
[ 0.014750 -0.001363  0.197120],	[ 0.145  0.429  0.296  0.861  0.088  0.065]
[ 0.013452 -0.001186  0.184800],	[ 0.153  0.452  0.281  0.758  0.111  0.064]
[ 0.007402 -0.000397  0.127306],	[ 0.162  0.435  0.277  0.744  0.196  0.071]
[ 0.009980 -0.000917  0.193013],	[ 0.182  0.408  0.396  0.497  0.088  0.087]
[ 0.006530 -0.000367  0.127306],	[ 0.205  0.369  0.655  1.071  0.111  0.105]
[ 0.010441 -0.000649  0.172480],	[ 0.298  0.335  0.844  0.353  0.115  0.178]
[ 0.008725 -0.000145  0.057493],	[ 1.044  0.288  0.679  0.654  0.103  0.107]
[ 0.012217 -0.000116  0.024640],	[ 0.893  0.335  0.655  0.497  0.093  0.121]
[ 0.006977 -0.000197  0.073920],	[ 0.220  0.348  0.251  0.758  0.081  0.142]
[ 0.007833 -0.000492  0.139626],	[ 0.339  0.331  0.251  0.312  0.090  0.131]
[ 0.010469 -0.000199  0.049280],	[ 0.346  0.331  0.396  1.090  0.091  0.120]
[ 0.006981 -0.000029  0.016427],	[ 0.354  0.348  0.351  0.414  0.090  0.118]
[ 0.008290  0.000009  0.004107],	[ 0.331  0.335  0.357  1.071  0.093  0.100]
[ 0.005672 -0.000005  0.004107],	[ 0.339  0.343  0.351  0.786  0.080  0.110]
[ 0.007854 -0.000004  0.000000],	[ 0.328  0.361  0.239  0.893  0.088  0.111]
[ 0.005672  0.000005  0.004107],	[ 0.321  0.374  0.208  0.772  0.088  0.109]
[ 0.009599 -0.000050  0.016427],	[ 0.314  0.369  0.239  0.877  0.092  0.105]
[ 0.006109 -0.000032  0.016427],	[ 0.294  0.369  0.418  0.758  0.087  0.106]
[ 0.010030 -0.000265  0.053387],	[ 0.285  0.361  0.426  1.014  0.088  0.100]
[ 0.008281 -0.000333  0.086240],	[ 0.285  0.348  0.829  0.815  0.095  0.090]
[ 0.006543 -0.000142  0.045173],	[ 0.243  0.352  0.457  0.758  0.099  0.077]
[ 0.010028 -0.000330  0.069813],	[ 0.234  0.369  0.771  0.515  0.091  0.076]
[ 0.007416 -0.000140  0.045173],	[ 0.232  0.388  0.859  0.060  0.097  0.073]
[ 0.009154 -0.000355  0.078026],	[ 0.237  0.249  0.247  0.052  0.105  0.074]
[ 0.006978 -0.000177  0.049280],	[ 0.237  0.408  0.396  0.111  0.110  0.072]
[ 0.011336 -0.000378  0.082133],	[ 0.234  0.429  0.263  0.227  0.125  0.077]
[ 0.008726 -0.000088  0.024640],	[ 0.226  0.435  0.500  0.353  0.132  0.079]
[ 0.012653  0.000093 -0.004107],	[ 0.212  0.424  0.328  0.317  0.139  0.082]
[ 0.008725  0.000140 -0.032853],	[ 0.201  0.429  0.491  0.167  0.141  0.090]
[ 0.012209  0.000373 -0.073920],	[ 0.185  0.419  0.396  0.107  0.129  0.083]
[ 0.011770  0.000453 -0.078026],	[ 0.177  0.611  0.643  0.116  0.127  0.084]
[ 0.008725  0.000129 -0.032853],	[ 0.159  0.429  0.829  0.340  0.124  0.101]
[ 0.011772  0.000403 -0.069813],	[ 0.150  0.408  0.317  0.744  0.125  0.104]
[ 0.008289  0.000113 -0.028747],	[ 0.135  0.424  0.259  0.422  0.124  0.110]
[ 0.010904  0.000262 -0.061600],	[ 0.139  0.429  0.567  0.877  0.132  0.117]
[ 0.006543  0.000131 -0.045173],	[ 0.130  0.398  0.474  0.575  0.129  0.131]
[ 0.010032  0.000222 -0.045173],	[ 0.125  0.429  0.457  0.347  0.136  0.139]
[ 0.006107  0.000124 -0.041067],	[ 0.110  0.424  0.306  0.210  0.127  0.142]
[ 0.009595  0.000235 -0.049280],	[ 0.113  0.435  0.370  0.259  0.107  0.144]
[ 0.008725  0.000136 -0.041067],	[ 0.107  0.452  0.196  0.259  0.125  0.155]
[ 0.005236  0.000014 -0.008213],	[ 0.101  0.429  0.609  0.277  0.119  0.150]
[ 0.008290  0.000023 -0.012320],	[ 0.088  0.435  0.844  0.263  0.116  0.147]
[ 0.006980 -0.000097  0.024640],	[ 0.085  0.446  0.744  0.281  0.105  0.144]
[ 0.009158 -0.000256  0.053387],	[ 0.071  0.413  0.418  0.281  0.114  0.137]
[ 0.006109 -0.000007  0.008213],	[ 0.066  0.470  0.396  0.340  0.116  0.139]
[ 0.001309 -0.000002  0.004107],	[ 0.061  0.429  0.588  0.323  0.115  0.136]
[ 0.000436 -0.000004  0.012320],	[ 0.061  0.452  0.404  0.340  0.103  0.121]
[ 0.000436 -0.000007  0.028747],	[ 0.061  0.458  0.609  0.359  0.119  0.121]
[ 0.000000 -0.000002  0.024640],	[ 0.058  0.458  0.345  0.372  0.122  0.134]
[ 0.000436 -0.000013  0.036960],	[ 0.056  0.476  0.588  0.470  0.134  0.127]
[ 0.000873 -0.000009  0.041067],	[ 0.054  0.452  0.474  0.317  0.129  0.121]
[ 0.000000  0.000002  0.016427],	[ 0.052  0.429  0.704  0.565  0.125  0.115]
[ 0.000872 -0.000020  0.041067],	[ 0.052  0.464  0.577  0.340  0.125  0.109]
