pose,ir
[-2.754808 -0.740161  2.919833],	[ 1.641  1.226  0.844  1.090  0.990  0.354]
[-2.757319 -0.739426  2.788420],	[ 1.662  0.963  0.859  0.666  0.488  0.353]
[-2.758120 -0.739081  2.698074],	[ 1.683  0.820  0.859  0.893  0.186  0.354]
[-2.758883 -0.738659  2.583087],	[ 1.662  0.913  0.859  1.071  0.348  0.354]
[-2.758883 -0.738659  2.517381],	[ 1.662  0.854  0.717  0.961  1.147  0.353]
[-2.759225 -0.738388  2.414714],	[ 1.662  0.820  0.859  1.052  1.171  0.354]
[-2.758917 -0.738696  2.328475],	[ 1.662  0.746  0.859  1.090  0.510  0.353]
[-2.759206 -0.738370  2.275088],	[ 1.662  0.679  0.844  1.033  1.196  0.354]
[-2.759456 -0.738012  2.180635],	[ 1.641  0.698  0.844  1.052  1.171  0.341]
[-2.759929 -0.737279  2.106715],	[ 1.600  0.635  0.844  1.052  0.891  0.353]
[-2.760532 -0.736118  1.979409],	[ 1.683  0.688  0.844  1.090  0.230  0.354]
[-2.760853 -0.735307  1.889062],	[ 1.662  0.698  0.844  1.071  0.214  0.354]
[-2.761373 -0.733190  1.753543],	[ 1.662  0.717  0.844  1.071  0.321  0.354]
[-2.761542 -0.731892  1.667303],	[ 1.662  0.644  0.859  0.927  0.835  0.354]
[-2.761586 -0.730585  1.572850],	[ 1.662  0.542  0.785  0.323  0.532  0.353]
[-2.761570 -0.728840  1.564636],	[ 1.662  0.549  0.844  0.242  0.929  0.354]
[-2.761579 -0.728403  1.576956],	[ 1.662  0.579  0.859  1.071  1.171  0.354]
[-2.761556 -0.724040  1.560530],	[ 1.662  0.501  0.730  0.414  1.171  0.354]
[-2.761519 -0.720986  1.556423],	[ 1.539  0.542  0.730  0.525  1.196  0.354]
[-2.761447 -0.717933  1.519463],	[ 1.662  0.619  0.844  0.943  1.171  0.354]
[-2.761278 -0.714883  1.515356],	[ 1.389  0.602  0.859  0.927  1.196  0.354]
[-2.761117 -0.711833  1.519463],	[ 1.662  0.595  0.859  0.365  1.147  0.354]
[-2.760964 -0.708782  1.523570],	[ 1.500  0.564  0.859  0.978  1.171  0.354]
[-2.760694 -0.702680  1.531783],	[ 1.662  0.476  0.859  0.525  1.171  0.354]
[-2.760476 -0.697012  1.535890],	[ 1.662  0.521  0.844  0.372  0.263  0.342]
[-2.760078 -0.686548  1.519463],	[ 1.662  0.542  0.859  0.437  0.949  0.341]
[-2.758858 -0.674393  1.445543],	[ 1.444  0.556  0.844  1.014  1.196  0.354]
[-2.757683 -0.665746  1.429117],	[ 1.683  0.602  0.859  0.831  1.196  0.354]
[-2.755225 -0.649349  1.420903],	[ 1.662  0.587  0.859  0.263  1.171  0.354]
[-2.753432 -0.637705  1.416797],	[ 1.641  0.587  0.829  1.052  0.193  0.354]
[-2.750802 -0.620893  1.388050],	[ 1.641  1.939  0.717  0.996  0.592  0.354]
[-2.748341 -0.610719  1.297704],	[ 1.641  1.456  0.704  0.927  1.171  0.354]
[-2.743619 -0.596198  1.227890],	[ 1.662  1.147  0.859  0.861  0.801  0.354]
[-2.739357 -0.584749  1.203251],	[ 1.683  0.913  0.859  1.071  0.784  0.354]
[-2.732171 -0.566476  1.190931],	[ 1.683  0.820  0.859  0.470  0.098  0.355]
[-2.726606 -0.552725  1.182717],	[ 1.559  0.736  0.859  1.071  0.214  0.354]
[-2.717698 -0.530912  1.182717],	[ 1.641  0.717  0.859  1.110  0.784  0.354]
[-2.708230 -0.507913  1.178611],	[ 1.662  0.698  0.844  0.978  1.171  0.352]
[-2.701695 -0.492201  1.174504],	[ 1.579  0.611  0.844  1.071  0.448  0.341]
[-2.691346 -0.467679  1.170397],	[ 1.559  0.528  0.844  1.014  0.296  0.354]
[-2.684486 -0.451631  1.162184],	[ 1.319  0.528  0.844  0.943  0.580  0.354]
[-2.674594 -0.428812  1.158077],	[ 1.159  0.514  0.859  0.281  0.532  0.354]
[-2.667776 -0.413220  1.153971],	[ 0.978  0.556  0.844  0.149  1.147  0.353]
[-2.657035 -0.388868  1.158077],	[ 1.189  0.602  0.844  1.071  1.033  0.353]
[-2.646740 -0.365272  1.162184],	[ 0.893  0.653  0.730  1.052  0.592  0.354]
[-2.639510 -0.348433  1.170397],	[ 0.837  0.635  0.704  0.479  1.171  0.354]
[-2.628939 -0.323531  1.170397],	[ 1.144  0.688  0.859  1.014  0.872  0.354]
[-2.621482 -0.305840  1.170397],	[ 1.004  0.635  0.829  0.815  0.109  0.354]
[-2.609927 -0.278987  1.158077],	[ 0.870  0.688  0.844  1.033  1.171  0.354]
[-2.601690 -0.260684  1.141651],	[ 0.795  0.635  0.844  0.893  1.077  0.352]
[-2.589217 -0.233763  1.108797],	[ 0.795  1.914  0.844  0.861  0.203  0.354]
[-2.581191 -0.220273  0.977384],	[ 0.991  1.535  0.859  0.758  0.891  0.354]
[-2.564529 -0.200693  0.792585],	[ 1.662  1.073  0.844  1.071  0.141  0.354]
[-2.551433 -0.188510  0.722772],	[ 1.662  0.865  0.859  1.090  0.363  0.354]
[-2.528421 -0.169789  0.657065],	[ 1.620  0.831  0.844  1.071  0.321  0.354]
[-2.503509 -0.151376  0.620105],	[ 1.662  0.707  0.844  0.263  0.439  0.353]
[-2.485710 -0.138760  0.611892],	[ 1.662  0.707  0.859  1.052  0.279  0.354]
[-2.458122 -0.119585  0.607785],	[ 1.662  0.653  0.730  1.071  0.268  0.341]
[-2.437654 -0.105456  0.603679],	[ 1.705  0.661  0.717  1.071  0.412  0.354]
[-2.417584 -0.091519  0.611892],	[ 1.662  0.653  0.859  1.071  0.356  0.342]
[-2.391874 -0.073466  0.611892],	[ 1.683  0.627  0.859  0.978  0.458  0.354]
[-2.374668 -0.061523  0.603679],	[ 1.662  0.661  0.859  1.052  0.387  0.355]
[-2.350551 -0.045000  0.599572],	[ 1.662  0.653  0.844  0.996  0.356  0.354]
[-2.334696 -0.034174  0.599572],	[ 1.705  0.644  0.859  0.831  1.100  0.354]
[-2.312017 -0.018640  0.603679],	[ 1.662  0.619  0.844  1.071  0.458  0.351]
[-2.288371 -0.002204  0.611892],	[ 1.539  0.627  0.859  0.877  0.190  0.354]
[-2.271902  0.009270  0.611892],	[ 1.662  0.579  0.859  0.831  0.499  0.353]
[-2.246812  0.026688  0.603679],	[ 1.662  0.564  0.844  0.575  0.421  0.354]
[-2.228815  0.039019  0.595465],	[ 1.683  0.579  0.844  0.414  1.171  0.354]
[-2.201514  0.057061  0.574932],	[ 1.662  0.571  0.829  0.138  0.430  0.353]
[-2.183041  0.068666  0.550292],	[ 1.662  0.564  0.844  1.071  0.148  0.354]
[-2.155645  0.084912  0.521545],	[ 1.641  0.595  0.744  1.071  0.371  0.354]
[-2.127769  0.100321  0.492799],	[ 1.641  0.602  0.859  0.393  0.532  0.354]
[-2.109551  0.109737  0.464052],	[ 1.662  0.535  0.844  0.893  0.235  0.342]
[-2.082030  0.122981  0.431199],	[ 1.683  1.865  0.859  0.545  0.439  0.354]
[-2.064107  0.130996  0.410666],	[ 1.683  1.293  0.771  0.642  0.412  0.354]
[-2.037513  0.142044  0.377812],	[ 1.662  1.044  0.844  0.679  0.458  0.354]
[-2.018751  0.149172  0.353173],	[ 0.446  0.877  0.632  0.815  0.751  0.352]
[-1.989089  0.159518  0.320319],	[ 0.639  0.746  0.814  0.666  0.253  0.354]
[-1.969517  0.165638  0.291573],	[ 0.708  0.644  0.744  0.679  0.568  0.347]
[-1.938397  0.174239  0.250506],	[ 0.795  0.602  0.844  0.679  0.568  0.352]
[-1.916743  0.179363  0.221759],	[ 0.826  0.619  0.771  1.071  0.592  0.354]
[-1.883777  0.185832  0.176586],	[ 0.905  0.635  0.704  0.347  0.468  0.354]
[-1.850554  0.190818  0.131413],	[ 0.785  0.611  0.844  0.525  0.341  0.354]
[-1.828446  0.193350  0.102666],	[ 0.870  0.644  0.667  1.090  0.521  0.354]
[-1.797131  0.195843  0.061600],	[ 0.826  1.989  0.547  1.071  0.439  0.354]
[-1.777086  0.196858  0.036960],	[ 0.837  1.456  0.491  1.090  1.196  0.354]
[-1.746986  0.197383  0.000000],	[ 0.795  1.044  0.799  1.071  0.499  0.354]
[-1.726917  0.197089 -0.024640],	[ 0.805  0.877  0.527  0.978  0.279  0.354]
[-1.696848  0.195632 -0.069813],	[ 0.755  0.766  0.771  0.619  0.478  0.353]
[-1.676407  0.193981 -0.090346],	[ 0.816  0.679  0.730  0.996  0.660  0.355]
[-1.646462  0.190867 -0.110880],	[ 0.755  0.635  0.692  0.815  1.171  0.354]
[-1.616120  0.187367 -0.119093],	[ 0.717  0.627  0.771  0.831  0.646  0.339]
[-1.597056  0.185098 -0.119093],	[ 0.805  0.619  0.829  0.801  0.341  0.354]
[-1.567599  0.181542 -0.119093],	[ 0.775  0.595  0.829  1.014  0.689  0.353]
[-1.548535  0.179270 -0.119093],	[ 0.805  0.602  0.844  0.772  0.544  0.354]
[-1.521669  0.176101 -0.119093],	[ 0.755  1.890  0.829  0.359  0.363  0.341]
[-1.504329  0.174116 -0.110880],	[ 0.681  1.456  0.799  1.052  0.632  0.333]
[-1.477850  0.171417 -0.098560],	[ 0.726  1.073  0.547  1.071  0.660  0.346]
[-1.459606  0.169688 -0.090346],	[ 0.681  0.877  0.679  0.758  1.033  0.337]
[-1.428737  0.167075 -0.078026],	[ 0.717  0.736  0.643  0.961  0.735  0.332]
[-1.406982  0.165445 -0.069813],	[ 0.681  0.661  0.527  0.704  0.488  0.348]
[-1.372592  0.163088 -0.065707],	[ 0.656  0.595  0.829  0.831  0.646  0.345]
[-1.339496  0.161015 -0.057493],	[ 0.673  0.602  0.730  0.978  0.818  0.340]
[-1.318587  0.159811 -0.057493],	[ 0.615  0.579  0.655  0.831  1.171  0.341]
[-1.288956  0.158267 -0.049280],	[ 0.690  0.602  0.744  0.996  1.033  0.340]
[-1.270652  0.157384 -0.049280],	[ 0.623  0.602  0.771  1.071  0.328  0.348]
[-1.244496  0.156247 -0.041067],	[ 0.664  0.587  0.757  1.071  0.592  0.349]
[-1.227493  0.155580 -0.036960],	[ 0.631  0.579  0.799  0.961  0.499  0.348]
[-1.202636  0.154747 -0.032853],	[ 0.563  0.595  0.844  0.927  1.171  0.351]
[-1.186934  0.154298 -0.024640],	[ 0.592  1.555  0.829  0.831  0.619  0.336]
[-1.163812  0.153886 -0.012320],	[ 0.571  1.437  0.396  1.090  0.430  0.337]
[-1.148542  0.153746 -0.008213],	[ 0.498  1.017  0.449  1.052  0.818  0.349]
[-1.123671  0.153653 -0.004107],	[ 0.529  1.178  0.704  0.861  0.412  0.352]
[-1.096618  0.153710  0.004107],	[ 0.504  0.976  0.679  0.666  0.279  0.349]
[-1.077857  0.153844  0.008213],	[ 0.517  0.889  0.482  0.758  0.468  0.353]
[-1.047316  0.154226  0.008213],	[ 0.452  1.890  0.730  0.758  0.632  0.353]
[-1.026373  0.154471  0.008213],	[ 0.463  1.476  0.679  0.772  1.033  0.350]
[-0.994959  0.154787  0.008213],	[ 0.436  1.073  0.692  0.801  0.632  0.348]
[-0.974016  0.154977  0.008213],	[ 0.421  0.913  0.771  0.815  0.218  0.354]
[-0.941731  0.155446  0.016427],	[ 0.411  0.865  0.771  0.758  0.403  0.353]
[-0.910759  0.156136  0.028747],	[ 0.401  0.820  0.744  0.831  0.632  0.352]
[-0.890261  0.156758  0.032853],	[ 0.379  0.766  0.474  0.927  0.818  0.350]
[-0.861049  0.157886  0.045173],	[ 0.383  0.698  0.859  0.372  0.532  0.351]
[-0.842313  0.158887  0.057493],	[ 0.362  0.627  0.632  1.071  0.175  0.354]
[-0.814448  0.160721  0.073920],	[ 0.350  0.595  0.411  1.071  0.379  0.354]
[-0.796611  0.162087  0.078026],	[ 0.304  0.556  0.859  0.565  0.448  0.337]
[-0.769223  0.164435  0.090346],	[ 0.298  0.556  0.679  1.071  0.891  0.342]
[-0.751411  0.166104  0.094453],	[ 0.271  0.579  0.457  1.052  0.544  0.355]
[-0.724490  0.168768  0.102666],	[ 0.243  0.619  0.744  1.033  0.379  0.354]
[-0.706698  0.170628  0.106773],	[ 0.226  0.579  0.577  1.071  0.356  0.354]
[-0.679367  0.173576  0.110880],	[ 0.196  0.611  0.655  0.978  0.356  0.352]
[-0.653791  0.176502  0.114986],	[ 0.185  0.661  0.609  0.877  1.077  0.353]
[-0.649455  0.176994  0.106773],	[ 0.155  1.210  0.771  1.071  0.143  0.354]
[-0.647719  0.177173  0.098560],	[ 0.158  1.476  0.655  0.535  0.308  0.347]
[-0.648152  0.177121  0.102666],	[ 0.162  1.178  0.537  1.052  0.510  0.354]
[-0.647718  0.177161  0.098560],	[ 0.159  0.889  0.799  0.359  0.439  0.354]
[-0.647717  0.177153  0.098560],	[ 0.156  0.726  0.418  0.758  0.193  0.354]
[-0.646848  0.177234  0.090346],	[ 0.158  0.698  0.449  0.758  0.341  0.353]
[-0.646848  0.177234  0.090346],	[ 0.153  0.688  0.457  0.525  0.328  0.354]
[-0.647283  0.177196  0.119093],	[ 0.153  0.644  0.527  0.927  0.395  0.354]
[-0.647284  0.177203  0.151946],	[ 0.151  0.619  0.500  0.731  0.532  0.349]
[-0.647283  0.177198  0.184800],	[ 0.152  0.611  0.518  0.608  0.129  0.342]
[-0.646010  0.177498  0.262826],	[ 0.147  0.653  0.643  1.052  0.296  0.354]
[-0.646013  0.177510  0.336746],	[ 0.136  0.670  0.632  0.996  0.341  0.354]
[-0.645207  0.177842  0.476372],	[ 0.142  0.635  0.655  0.691  0.296  0.354]
[-0.644829  0.178059  0.570825],	[ 0.147  0.611  0.692  1.052  0.334  0.354]
[-0.643450  0.179125  0.735092],	[ 0.157  0.595  0.785  0.393  0.268  0.354]
[-0.643156  0.179448  0.854185],	[ 0.179  0.528  0.829  1.071  0.248  0.290]
[-0.642151  0.180872  1.018451],	[ 0.206  0.495  0.785  0.815  0.207  0.267]
[-0.641371  0.182431  1.182717],	[ 0.226  0.452  0.717  1.071  0.150  0.233]
[-0.641116  0.183266  1.289490],	[ 0.436  0.398  0.859  1.071  0.127  0.199]
[-0.640868  0.184550  1.433223],	[ 0.647  0.379  0.859  1.071  0.125  0.187]
[-0.640780  0.185418  1.482503],	[ 0.647  0.369  0.844  1.052  0.127  0.171]
[-0.640817  0.184984  1.486610],	[ 0.608  0.343  0.859  1.052  0.121  0.164]
[-0.640775  0.185418  1.474290],	[ 0.608  0.320  0.829  0.642  0.116  0.169]
[-0.640806  0.184983  1.478397],	[ 0.656  1.087  0.859  1.071  0.109  0.157]
[-0.640759  0.185416  1.474290],	[ 0.608  1.400  0.859  1.071  0.119  0.171]
[-0.640757  0.185416  1.498930],	[ 0.578  0.913  0.859  1.071  0.122  0.171]
[-0.640759  0.185416  1.482503],	[ 0.600  1.437  0.844  0.978  0.121  0.171]
[-0.640757  0.185416  1.523570],	[ 0.615  0.854  0.859  1.071  0.115  0.166]
[-0.640778  0.184980  1.576956],	[ 0.592  0.679  0.844  0.961  0.115  0.142]
[-0.640778  0.184980  1.626236],	[ 0.647  0.528  0.844  0.846  0.119  0.152]
[-0.640805  0.185416  1.687836],	[ 0.639  1.555  0.730  0.175  0.121  0.144]
[-0.640760  0.184982  1.683729],	[ 0.623  0.901  0.844  1.090  0.121  0.140]
[-0.640820  0.185414  1.687836],	[ 0.639  0.627  0.859  1.071  0.110  0.144]
[-0.640990  0.186712  1.700156],	[ 0.639  0.452  0.844  1.071  0.119  0.144]
[-0.641512  0.191044  1.691943],	[ 0.664  0.383  0.875  1.052  0.119  0.144]
[-0.641931  0.194509  1.691943],	[ 0.656  0.361  0.844  1.033  0.121  0.144]
[-0.642920  0.202740  1.687836],	[ 0.690  0.335  0.859  1.071  0.118  0.142]
[-0.644217  0.213571  1.691943],	[ 0.664  0.327  0.844  1.071  0.119  0.144]
[-0.645330  0.222666  1.696049],	[ 0.608  0.298  0.844  1.071  0.118  0.144]
[-0.647267  0.238254  1.696049],	[ 0.615  0.291  0.875  1.071  0.119  0.133]
[-0.648723  0.249945  1.691943],	[ 0.656  0.298  0.859  1.071  0.115  0.142]
[-0.651195  0.269424  1.696049],	[ 0.608  0.291  0.859  0.978  0.100  0.137]
[-0.652929  0.283278  1.696049],	[ 0.585  0.302  0.859  1.071  0.114  0.139]
[-0.655662  0.305802  1.696049],	[ 0.615  0.272  0.844  0.200  0.121  0.130]
[-0.657633  0.321386  1.696049],	[ 0.592  0.288  0.844  1.071  0.109  0.130]
[-0.660787  0.345616  1.704263],	[ 0.585  0.285  0.859  1.090  0.111  0.115]
[-0.662969  0.361612  1.708369],	[ 0.536  0.288  0.859  0.943  0.109  0.110]
[-0.666538  0.386226  1.720689],	[ 0.563  0.295  0.844  1.033  0.110  0.124]
[-0.670421  0.411233  1.728903],	[ 0.543  0.288  0.844  1.071  0.114  0.128]
[-0.673022  0.427167  1.733009],	[ 0.517  0.288  0.859  1.090  0.111  0.127]
[-0.677034  0.450827  1.745329],	[ 0.536  0.282  0.829  1.071  0.110  0.121]
[-0.679959  0.466704  1.757649],	[ 0.498  0.291  0.844  1.071  0.114  0.124]
[-0.684746  0.491554  1.765863],	[ 0.536  0.298  0.844  1.110  0.106  0.121]
[-0.688088  0.508240  1.769969],	[ 0.510  0.285  0.844  1.071  0.099  0.120]
[-0.693428  0.534315  1.774076],	[ 0.492  0.266  0.844  1.090  0.022  0.120]
[-0.697404  0.555758  1.691943],	[ 0.486  1.400  0.844  1.071 -0.050  0.120]
[-0.698005  0.568386  1.548210],	[ 0.457  1.242  0.844  0.437  0.060  0.137]
[-0.695264  0.584246  1.264850],	[ 0.480  0.809  0.859  1.071  0.096  0.176]
[-0.690411  0.596393  1.133437],	[ 0.480  0.661  0.730  0.996  0.105  0.207]
[-0.680610  0.613898  1.018451],	[ 0.468  0.535  0.844  1.071  0.099  0.225]
[-0.672922  0.625552  0.969171],	[ 0.504  0.495  0.588  0.927  0.103  0.231]
[-0.660460  0.642923  0.932211],	[ 0.517  0.446  0.426  1.014  0.091  0.231]
[-0.652359  0.653755  0.928104],	[ 0.498  0.403  0.465  1.090  0.066  0.223]
[-0.640070  0.670173  0.932211],	[ 0.480  0.379  0.643  1.090  0.052  0.195]
[-0.630988  0.682450  0.936318],	[ 0.463  0.335  0.643  1.052  0.016  0.201]
[-0.618125  0.700072  0.944531],	[ 0.468  0.302  0.730  0.454 -0.050  0.176]
[-0.604375  0.719205  0.952744],	[ 0.421  0.361  0.771  0.654  0.248  0.167]
[-0.595308  0.732032  0.960958],	[ 0.416  0.327  0.799  0.335  1.171  0.139]
[-0.581578  0.751715  0.965064],	[ 0.397  0.309  0.829  0.454  0.929  0.120]
[-0.573195  0.763422  0.936318],	[ 0.375  1.328  0.844  0.216  1.147  0.100]
[-0.559785  0.780627  0.887038],	[ 0.401  0.736  0.518  0.575  1.171  0.094]
[-0.553660  0.787438  0.800798],	[ 0.416  1.178  0.357  0.943  0.704  0.109]
[-0.544375  0.795357  0.644745],	[ 0.457  1.639  0.449  0.359  0.302  0.193]
[-0.538759  0.799505  0.628319],	[ 0.486  0.990  0.370  0.506  0.328  0.193]
[-0.530257  0.805618  0.620105],	[ 0.468  0.661  0.322  0.191  0.412  0.186]
[-0.522425  0.811169  0.595465],	[ 0.463  0.470  0.396  0.462  0.274  0.154]
[-0.516877  0.814638  0.533865],	[ 0.486  0.429  0.277  0.535  0.082  0.191]
[-0.507355  0.819959  0.496906],	[ 0.536  0.413  0.286  0.488  0.097  0.227]
[-0.500811  0.823450  0.492799],	[ 0.543  0.398  0.301  0.400  0.161  0.191]
[-0.491210  0.828630  0.496906],	[ 0.571  0.335  0.277  0.704  0.157  0.171]
[-0.484675  0.832139  0.484586],	[ 0.474  0.305  0.272  0.393  0.218  0.121]
[-0.477957  0.835277  0.406559],	[ 0.585  0.324  0.259  0.535  0.154  0.176]
[-0.472717  0.837450  0.386026],	[ 0.673  0.320  0.247  0.335  0.157  0.187]
[-0.464613  0.840685  0.377812],	[ 0.623  0.339  0.243  1.033  0.180  0.189]
[-0.454877  0.844543  0.377812],	[ 0.536  0.302  0.208  0.497  0.200  0.150]
[-0.448375  0.847084  0.361386],	[ 0.585  0.278  0.228  0.263  0.230  0.082]
[-0.440537  0.849784  0.307999],	[ 0.615  0.302  0.214  0.786  0.134  0.113]
[-0.436769  0.850887  0.271039],	[ 0.755  0.302  0.208  0.170  0.132  0.131]
[-0.430429  0.852511  0.234079],	[ 0.639  0.320  0.202  0.197  0.196  0.171]
[-0.425753  0.853593  0.221759],	[ 0.623  0.320  0.205  0.107  0.175  0.152]
[-0.417660  0.855393  0.217653],	[ 0.745  0.291  0.193  0.167  0.129  0.107]
[-0.411266  0.856787  0.213546],	[ 0.536  0.288  0.193  0.129  0.124  0.093]
[-0.401027  0.858987  0.213546],	[ 0.785  0.295  0.190  0.115  0.499  0.074]
[-0.393351  0.860647  0.213546],	[ 0.623  0.269  0.182  0.259  0.175  0.050]
[-0.382263  0.863046  0.205333],	[ 0.673  0.266  0.179  0.115  0.127  0.058]
[-0.376232  0.864005  0.106773],	[ 1.662  0.266  0.185  0.246  0.098  0.075]
[-0.373184  0.864166  0.004107],	[ 1.662  0.295  0.163  0.151  0.054  0.142]
[-0.369708  0.863879 -0.168373],	[ 1.641  0.413  0.174  0.213  0.412  0.354]
[-0.367583  0.863390 -0.287466],	[ 1.600  0.446  0.218  0.210  0.166  0.354]
[-0.361818  0.861380 -0.386026],	[ 1.641  0.476  0.247  0.231  0.159  0.354]
[-0.357380  0.859551 -0.398346],	[ 1.662  0.542  0.243  0.220  0.148  0.341]
[-0.350552  0.856652 -0.402452],	[ 1.559  0.528  0.247  0.216  0.154  0.342]
[-0.345340  0.854416 -0.406559],	[ 1.662  0.587  0.255  0.227  0.148  0.354]
[-0.335721  0.850274 -0.406559],	[ 1.620  0.564  0.251  0.277  0.166  0.353]
[-0.325666  0.846047 -0.394239],	[ 1.641  0.579  0.263  0.246  0.157  0.354]
[-0.318409  0.843041 -0.394239],	[ 1.662  0.521  0.259  0.231  0.177  0.354]
[-0.305487  0.837754 -0.386026],	[ 1.662  0.564  0.259  0.259  0.203  0.354]
[-0.297407  0.834455 -0.386026],	[ 1.683  0.528  0.255  0.272  0.175  0.354]
[-0.285245  0.829617 -0.369599],	[ 1.662  0.476  0.268  0.291  0.239  0.249]
[-0.277083  0.826530 -0.353173],	[ 1.662  0.393  0.225  0.188  0.203  0.130]
[-0.263936  0.821829 -0.336746],	[ 1.683  0.356  0.239  0.317  0.458  0.136]
[-0.256093  0.819140 -0.324426],	[ 1.620  0.356  0.247  0.180  0.328  0.157]
[-0.245744  0.815693 -0.320319],	[ 1.662  0.320  0.263  0.242  0.395  0.162]
[-0.238277  0.813260 -0.312106],	[ 1.662  0.339  0.277  0.149  0.379  0.176]
[-0.226203  0.809472 -0.299786],	[ 1.559  0.324  0.263  0.188  0.118  0.178]
[-0.213700  0.805597 -0.299786],	[ 1.662  0.331  0.243  0.177  0.129  0.182]
[-0.205774  0.803166 -0.295679],	[ 1.683  0.335  0.277  0.147  0.032  0.171]
[-0.192396  0.799168 -0.287466],	[ 1.662  0.320  0.263  0.272  0.042  0.191]
[-0.187373  0.797690 -0.287466],	[ 1.579  0.348  0.259  0.149  0.072  0.227]
[-0.185700  0.797194 -0.295679],	[ 1.662  1.939  0.263  0.263  0.068  0.219]
[-0.186118  0.797319 -0.324426],	[ 1.662  1.132  0.268  0.263  0.024  0.207]
[-0.186938  0.797616 -0.373706],	[ 1.662  0.831  0.268  0.259  0.060  0.193]
[-0.187342  0.797780 -0.418879],	[ 1.662  0.670  0.239  0.263  0.207  0.207]
[-0.188522  0.798347 -0.488692],	[ 1.641  0.571  0.251  0.267  0.348  0.193]
[-0.188140  0.798135 -0.492799],	[ 1.620  1.328  0.306  0.254  0.403  0.195]
[-0.187758  0.797924 -0.496906],	[ 1.662  1.476  0.296  0.359  0.458  0.195]
[-0.188145  0.798126 -0.509225],	[ 1.662  1.639  0.296  0.263  0.274  0.189]
[-0.188525  0.798340 -0.546185],	[ 1.641  0.963  0.322  0.353  0.222  0.191]
[-0.189260  0.798812 -0.611892],	[ 1.662  0.661  0.322  0.317  0.296  0.193]
[-0.189954  0.799340 -0.669385],	[ 1.662  0.556  0.339  0.210  0.302  0.186]
[-0.189947  0.799349 -0.751518],	[ 1.662  0.587  0.370  0.393  0.214  0.354]
[-0.190263  0.799649 -0.747412],	[ 1.683  1.890  0.390  0.312  0.222  0.354]
[-0.190583  0.799946 -0.751518],	[ 1.662  1.276  0.370  0.340  0.210  0.354]
[-0.189957  0.799338 -0.776158],	[ 1.662  0.951  0.396  0.323  0.230  0.354]
[-0.190269  0.799643 -0.788478],	[ 1.662  0.831  0.404  0.277  0.230  0.342]
[-0.189648  0.799030 -0.772052],	[ 1.662  0.679  0.345  0.231  0.239  0.341]
[-0.190272  0.799640 -0.772052],	[ 1.662  0.627  0.339  0.272  0.210  0.354]
[-0.189655  0.799022 -0.788478],	[ 1.662  0.644  0.404  0.185  0.235  0.354]
[-0.189658  0.799020 -0.813118],	[ 1.662  0.661  0.426  0.372  0.230  0.354]
[-0.190538  0.799989 -0.850078],	[ 1.705  0.679  0.390  0.259  0.200  0.354]
[-0.190536  0.799990 -0.882931],	[ 0.882  0.661  0.449  0.340  0.214  0.353]
[-0.191862  0.801722 -0.944531],	[ 1.662  0.661  0.426  0.365  0.239  0.354]
[-0.193246  0.803943 -1.059518],	[ 1.389  0.587  0.457  0.393  0.226  0.354]
[-0.193433  0.804338 -1.153971],	[ 0.388  0.602  0.609  0.535  0.214  0.354]
[-0.193769  0.805143 -1.236104],	[ 0.280  0.627  0.771  0.861  1.123  0.353]
[-0.193471  0.804323 -1.227890],	[ 0.282  0.619  0.771  0.575  0.929  0.354]
[-0.193464  0.804325 -1.227890],	[ 0.321  0.644  0.799  0.927  1.171  0.354]
[-0.193606  0.804738 -1.231997],	[ 0.328  0.627  0.692  0.575  1.100  0.354]
[-0.192721  0.802274 -1.223784],	[ 0.280  0.627  0.744  0.744  0.348  0.354]
[-0.191530  0.798993 -1.223784],	[ 0.294  0.627  0.598  0.619  1.171  0.352]
[-0.188445  0.790830 -1.199144],	[ 0.271  0.611  0.730  0.272  0.458  0.354]
[-0.185707  0.783936 -1.186824],	[ 0.291  0.571  0.404  1.052  0.214  0.342]
[-0.181059  0.772637 -1.178611],	[ 0.263  0.587  0.449  0.744  0.214  0.353]
[-0.175901  0.760133 -1.174504],	[ 0.280  0.602  0.704  0.679  0.190  0.354]
[-0.172842  0.752900 -1.182717],	[ 0.271  0.602  0.339  0.978  0.157  0.353]
[-0.170190  0.745511 -1.273064],	[ 0.253  0.595  0.692  0.545  0.200  0.354]
[-0.168849  0.740902 -1.293597],	[ 0.243  0.595  0.799  0.454  0.190  0.354]
[-0.166719  0.733343 -1.293597],	[ 0.253  0.587  0.814  0.846  0.177  0.353]
[-0.165045  0.727468 -1.293597],	[ 0.208  0.627  0.829  0.679  0.177  0.353]
[-0.162365  0.718250 -1.293597],	[ 0.228  0.635  0.844  0.772  0.161  0.354]
[-0.160991  0.713199 -1.334664],	[ 0.234  0.611  0.829  0.758  0.190  0.354]
[-0.160119  0.708481 -1.437330],	[ 0.237  0.602  0.844  0.758  0.203  0.354]
[-0.159847  0.705002 -1.511250],	[ 0.241  0.595  0.844  1.052  0.544  0.354]
[-0.159777  0.703258 -1.527676],	[ 0.246  0.602  0.730  0.296  0.580  0.354]
[-0.159504  0.697592 -1.523570],	[ 0.269  0.627  0.730  1.033  0.532  0.354]
[-0.159302  0.693233 -1.523570],	[ 0.234  0.579  0.859  1.071  0.274  0.354]
[-0.158844  0.685830 -1.486610],	[ 0.232  0.556  0.859  0.927  0.190  0.354]
